Masses:	m0 = 0.500000	m1 = 0.500000	
t	x0	y0	z0	x1	y1	z1	px0	py0	pz0	px1	py1	pz1	
6.40000000000000000000e+01	2.82033884870099216258e+00	1.78157000682786587076e-01	-2.12800082264663591169e-02	-2.84634249204645417564e+00	-1.99507755303760470067e-01	-2.52520614196065328050e-02	1.07299268285119524940e-02	1.41034275293585753541e-01	-5.60580436309686706495e-04	-1.13961096492324227836e-02	-1.41574800436654879565e-01	-6.26445610598004663100e-04	
6.50000000000000000000e+01	2.82570160886047894166e+00	3.47315415981164110626e-01	-2.24645701687714964556e-02	-2.85307533645688193857e+00	-3.69751836751653517599e-01	-2.64940477226057423399e-02	1.25216699420215363259e-04	1.40050428677480603978e-01	-5.92764301842070183077e-04	-7.80762844066614294936e-04	-1.40580090048876393816e-01	-6.28125053143401782668e-04	
6.60000000000000000000e+01	2.81853693462597298947e+00	5.15404137058114164560e-01	-2.36543485033219418046e-02	-2.84727443885178699290e+00	-5.38908457848656485822e-01	-2.77244147059539577937e-02	-1.02160167052074233457e-02	1.38469686945267456135e-01	-5.80465127435250021794e-04	9.55729264046670246024e-03	-1.38994938037388937602e-01	-6.07468790646513109345e-04	
6.70000000000000000000e+01	2.79907602742506389504e+00	6.81621399989312481971e-01	-2.48005087002803083218e-02	-2.82921216765566718720e+00	-7.06229367292155574276e-01	-2.88953584172000066399e-02	-2.03038014813974980466e-02	1.36268734491507725881e-01	-5.46928079296737381342e-04	1.96380875067761265229e-02	-1.36836888783574445183e-01	-5.59030211702854539293e-04	
6.80000000000000000000e+01	2.76756371402566125894e+00	8.45232452614392393286e-01	-2.58840544489831077268e-02	-2.79920800131854941029e+00	-8.70966629386610402541e-01	-3.00031887630021788793e-02	-3.01121535196851829175e-02	1.33602496476452836660e-01	-5.62627502149091302495e-04	2.93686243778271995064e-02	-1.34142003686496730230e-01	-5.43656406146936937475e-04	
6.90000000000000000000e+01	2.72432534167748974241e+00	1.00557985538702387984e+00	-2.70504833333747064794e-02	-2.75756194282216338109e+00	-1.03236885498681196793e+00	-3.10841879140524406100e-02	-3.96503220331644729013e-02	1.30386573951992074116e-01	-5.97996039388825045141e-04	3.88818236149203952379e-02	-1.30876886493818428425e-01	-5.20000972629101128504e-04	
7.00000000000000000000e+01	2.66967420861658277786e+00	1.16196845071248788805e+00	-2.82280265025565448023e-02	-2.70452407841273689826e+00	-1.18976385474248780305e+00	-3.21293421199093862106e-02	-4.89155839876606393646e-02	1.26683037212034194097e-01	-6.11165222841786900769e-04	4.81244857516239243900e-02	-1.27165160205349264677e-01	-4.73649014050398300697e-04	
7.10000000000000000000e+01	2.60392311463189285448e+00	1.31371893422453567268e+00	-2.93985710982894374310e-02	-2.64047045829250537352e+00	-1.34248225496803885726e+00	-3.31009621937169498662e-02	-5.78747936357099992954e-02	1.22456375723087651508e-01	-6.32292541802317322429e-04	5.70682266972909121860e-02	-1.22917851324302274119e-01	-4.28007260770561879116e-04	
7.20000000000000000000e+01	2.52747133299733128808e+00	1.46015632735230926897e+00	-3.05763295536169744937e-02	-2.56569568177590667801e+00	-1.48988858225331499696e+00	-3.40509692146230558141e-02	-6.65402560945445448182e-02	1.17756672920708349572e-01	-6.12301321892380471558e-04	6.57423005811605953852e-02	-1.18233966152121963700e-01	-4.17488158756779787970e-04	
7.30000000000000000000e+01	2.44067060282600856169e+00	1.60064942895216000274e+00	-3.17365520775358053718e-02	-2.48054300940031957623e+00	-1.63135699693073243921e+00	-3.49507405206907484363e-02	-7.49355297487077076646e-02	1.12568267321758980204e-01	-6.21957923303991227354e-04	7.41592713536661923834e-02	-1.13049122654285794098e-01	-3.78777399321847136476e-04	
7.40000000000000000000e+01	2.34389510041312565392e+00	1.73458351369154017974e+00	-3.28625632183217886162e-02	-2.38541562153821340431e+00	-1.76620973584977303261e+00	-3.58260549298508104710e-02	-8.30345033877934041167e-02	1.06932790489561238556e-01	-5.90351950086834970088e-04	8.22219354955605608026e-02	-1.07342938759494521683e-01	-3.53848385632940325672e-04	
7.50000000000000000000e+01	2.23753400461457330195e+00	1.86134252768510788378e+00	-3.39445888479243951252e-02	-2.28074119309170297853e+00	-1.89389390931424106412e+00	-3.66187843296982631913e-02	-9.08054427594548047020e-02	1.00815039994961636038e-01	-5.70588321146380558595e-04	8.99938920976552370057e-02	-1.01266770555955884503e-01	-3.49976409526175339000e-04	
7.60000000000000000000e+01	2.12204946160626439777e+00	1.98037103737562270034e+00	-3.50203230468787360397e-02	-2.16694634739138392021e+00	-2.01383589334126567039e+00	-3.74356321039341424783e-02	-9.82462265797469092021e-02	9.42908647084865769727e-02	-5.82669616274499816561e-04	9.74499506051554054142e-02	-9.47094384333065919535e-02	-3.92828538859533722520e-04	
